Palavra;Peso;Classe favorecida
1930;-0.07737397249490256;Verdadeira
1931;0.07002899419826235;Fake
1934;-0.007967292133301038;Verdadeira
1935;-0.02534549906963672;Verdadeira
1936;-0.022871071620650118;Verdadeira
1937;-0.02684906571456583;Verdadeira
1938;-0.03881713065140853;Verdadeira
1939;-0.0018817471624573022;Verdadeira
194;-0.03523976646741215;Verdadeira
1940;0.0009203465608742078;Fake
1941;-0.05473200536111877;Verdadeira
1942;0.014134627416699587;Fake
1943;-0.09472277829043184;Verdadeira
1944;-0.010199914996843478;Verdadeira
1945;0.05685714190234433;Fake
1946;-0.04025726908727321;Verdadeira
1947;0.036241554597816576;Fake
1948;-0.08663227132452599;Verdadeira
1949;-0.03669501697706283;Verdadeira
195;-0.00879923922138747;Verdadeira
1950;-0.08587661283303437;Verdadeira
1951;-0.05884003413521925;Verdadeira
1953;-0.084316460198943;Verdadeira
1954;0.00899661453895815;Fake
1955;0.0552936800845313;Fake
1956;-0.01246612012345389;Verdadeira
1957;-0.05758691209837436;Verdadeira
1958;0.015657253414188582;Fake
1959;-0.023076395519935657;Verdadeira
196;-0.02902633272386228;Verdadeira
1960;-0.08786664840735114;Verdadeira
1961;0.08052151588730704;Fake
1962;-0.05197224214317797;Verdadeira
1963;0.00020863861762209166;Fake
1964;-0.030714598747994284;Verdadeira
1965;-0.009999479305878871;Verdadeira
1966;-0.0822927756798742;Verdadeira
1967;0.06646374120392202;Fake
1968;-0.0219215461032859;Verdadeira
1969;0.1852858001514673;Fake
197;0.0;Neutra
1970;0.11916629494887392;Fake
1971;0.0007443652421548189;Fake
1972;-0.016885478360067076;Verdadeira
1973;-0.05634583840935613;Verdadeira
1974;0.00862798823165575;Fake
1975;-0.08735649067867413;Verdadeira
1976;-0.06532694199576465;Verdadeira
1977;0.015223086522483997;Fake
1978;-0.026335082932751327;Verdadeira
1979;-0.09233635260314986;Verdadeira
198;-0.005618890782902155;Verdadeira
1980;-0.06613985626594117;Verdadeira
1981;0.003201166666971034;Fake
1982;0.08764786929881732;Fake
1983;-0.12704253816244063;Verdadeira
1984;-0.0140638955098351;Verdadeira
1985;0.04045137547297107;Fake
1986;-0.12638334560514028;Verdadeira
1987;0.053678579772863715;Fake
1988;0.06946079928247038;Fake
1989;-0.0043611816656400635;Verdadeira
199;0.0;Neutra
1990;-0.18589395559864003;Verdadeira
1991;-0.05714185149548827;Verdadeira
1992;-0.021953255259691908;Verdadeira
1993;-0.008151845889215853;Verdadeira
1994;-0.04550343079006533;Verdadeira
1995;-0.1515396782716638;Verdadeira
1996;0.0679195557785862;Fake
1997;-0.11072593835379954;Verdadeira
1998;0.14213997920965743;Fake
1999;-0.061598845317470396;Verdadeira
19h;0.03879405618989846;Fake
19h30;-0.04708231306030596;Verdadeira
1a;0.14937012509166547;Fake
1b;0.0695153224307776;Fake
